country,signed,start,end,closeout,quarter,report,budget
Burkina Faso,14-Jul-08,31-Jul-09,31-Jul-14,1-Aug-14 to 29-Nov-14,(Quarter 13 Results: July to September 2012),"Report Date: November 10, 2012",$479 Million
El Salvador,29-Nov-06,20-Sep-07,20-Sep-12,21-Sept-12 to 18-Jan-13,(Quarter 20 Results: July to September 2012),"Report Date: November 10, 2012",$461 Million
Jordan,25-Oct-10,13-Dec-11,13-Dec-16,11-Jun-17,(Quarter 3 Results: July to September 2012),"Report Date: November 10, 2012",$275.1 Million
Lesotho,23-Jul-07,17-Sep-08,17-Sep-13,18-Sep-13 to 16-Jan-2014,(Quarter 16 Results: July to September 2012),"Report Date: November 10, 2012",$363 Million
Mali,13-Nov-06,17-Sep-07,17-Sep-12,18-Sep-12 to 16-Jan-13,Quarter 20 Results: July to September 2012,"Report Date: November 10, 2012",$461 Million
Moldova,22-Jan-10,1-Sep-10,31-Aug-15,1-Sept-15 to 30-Dec-15,(Quarter 8 Results: July to September 2012),"Report Date: November 10, 2012",$262 Million
Mongolia,22-Oct-07,17-Sep-08,17-Sep-13,17-Sept-13 to 15-Jan-14,(Quarter 16 Results: July to September 2012),"Report Date: November 10, 2012",$285 Million
Morocco,31-Aug-07,15-Sep-08,15-Sep-13,16-Sept-13 to 13-Jan-14,(Quarter 16 Results: July to September 2012),"Report Date: November 10, 2012",$697.5 Million
Mozambique,13-Jul-07,22-Sep-08,23-Sep-13,23-Sep-13 to 14-Jan-14,(Quarter 16 Results: July to September 2012),"Report Date: November 10, 2012",$507 Million
Namibia,28-Jul-08,16-Sep-09,16-Sep-14,17-Sept-14 to 13-Jan-15,(Quarter 12 Results: July to September 2012),"Report Date: November 10, 2012",$304 Million
Philippines,23-Sep-10,25-May-11,25-May-16,26-May-16 to 22-Nov-16,(Quarter 5 Results: July to September 2012),"Report Date: November 10, 2012",434.0 M
Senegal,16-Sep-09,23-Sep-10,23-Sep-15,24-Sept-15 to 23-Jan-16,(Quarter 8 Results: July to September 2012),"Report Date: November 10, 2012 ",$540 Million
Tanzania,17-Feb-08,17-Sep-08,14-Sep-13,15-Sep-13 to 13-Jan-14,(Quarter 16 Results:  July to September 2012),"Report Date: November 10, 2012",$698 Million
Mongolia,22-Oct-07,17-Sep-08,17-Sep-13,17-Sept-13 to 15-Jan-14,(Quarter 16 Results: July to September 2012),"Report Date: November 10, 2012",$285 Million
